yy;aeronautica_6803;aeronautica_6817;aeronautica_6893;lazio_240;lazio_289;marche_701;sicilia_11883;sicilia_11933;toscana_55;aeronautica_6693;aeronautica_6697;aeronautica_6865;bolzano_176;bolzano_39;lazio_388;marche_703;trentino_6511;trentino_6564;trentino_6639;trentino_6640;aeronautica_6769;aeronautica_6773;aeronautica_6782;aeronautica_6794;aeronautica_6826;aeronautica_6827;aeronautica_6834;aeronautica_6851;emiliaromagna_12702;emiliaromagna_14246;marche_104;marche_110;marche_123;marche_25;toscana_72;toscana_78;aeronautica_6707;aeronautica_6709;aeronautica_6718;aeronautica_6720;aeronautica_6721;aeronautica_6723;aeronautica_6729;aeronautica_6730;aeronautica_6733;aeronautica_6779;aeronautica_6797;bolzano_203;marche_108;marche_109;marche_605;marche_608;toscana_25;toscana_76;trentino_6509;aeronautica_6691;aeronautica_6692;bolzano_223;bolzano_94;aeronautica_6771;aeronautica_6856;aeronautica_6869;lazio_276;aeronautica_6919;aeronautica_6923
2001;NA;7;2;2;4;NA;0;NA;NA;142;NA;115;103;109;122;NA;110;95;161;143;30;20;32;19;35;NA;17;17;18;17;27;13;19;5;NA;NA;72;45;41;52;63;61;57;48;39;44;NA;75;18;29;44;NA;NA;29;88;NA;NA;185;165;1;0;2;NA;4;1
2002;NA;17;5;7;6;NA;0;2;14;180;79;86;79;99;117;NA;93;84;150;138;25;18;14;19;14;17;19;20;9;17;13;21;11;NA;18;NA;55;22;33;NA;44;27;45;38;29;47;NA;63;NA;18;32;13;34;28;NA;185;182;173;150;0;0;NA;0;7;4
2003;NA;18;1;2;3;0;NA;18;13;180;NA;111;115;132;NA;132;132;118;144;NA;46;30;47;31;48;24;15;25;14;16;13;40;26;8;16;33;87;NA;54;62;69;56;70;67;53;63;NA;95;50;46;67;37;74;43;101;182;179;189;183;0;0;0;0;18;NA
2004;5;14;2;3;4;0;NA;6;10;164;111;85;115;128;NA;117;NA;107;NA;156;43;16;27;19;33;26;25;14;6;5;31;32;19;27;17;NA;87;48;33;65;79;56;68;63;41;51;29;90;NA;36;49;NA;72;42;93;178;184;170;169;0;0;2;0;7;NA
2005;13;16;7;5;4;7;NA;8;26;149;119;100;122;121;NA;134;NA;NA;132;138;64;45;59;38;60;30;18;26;20;14;58;53;42;50;31;40;105;60;74;98;100;95;95;90;79;75;52;104;67;NA;71;NA;93;70;NA;179;174;172;165;2;0;0;2;12;6
2006;5;11;3;1;5;11;NA;9;12;150;112;91;112;118;NA;120;118;NA;123;NA;38;33;34;25;31;21;14;23;24;NA;33;36;26;22;15;17;83;28;49;74;73;64;52;68;52;47;32;93;56;NA;53;37;58;47;88;164;155;157;164;0;0;0;0;5;2
2007;0;8;1;2;NA;1;NA;0;4;156;86;76;92;115;NA;NA;NA;NA;125;NA;17;13;9;15;13;14;6;13;4;17;5;12;NA;10;5;8;66;9;32;NA;46;46;32;24;22;37;12;69;49;NA;43;13;46;35;NA;167;170;176;173;0;2;1;0;0;0
2008;2;7;3;2;2;1;2;0;5;135;91;73;105;107;125;NA;NA;NA;136;147;37;8;17;8;17;17;11;16;10;17;13;NA;23;9;5;7;66;28;39;50;45;46;38;31;33;40;18;66;NA;39;44;22;53;27;NA;181;185;168;170;0;0;0;0;5;2
2009;2;9;1;3;3;7;0;8;13;131;105;85;109;116;138;104;NA;NA;NA;NA;35;16;26;19;27;14;NA;17;22;32;25;NA;31;9;14;17;71;42;60;63;64;54;39;35;54;53;19;73;NA;45;NA;NA;65;45;NA;180;173;167;185;0;1;0;1;4;2
2010;2;16;0;3;3;20;0;0;13;140;113;82;115;127;NA;NA;NA;NA;NA;151;39;23;47;18;31;16;NA;17;28;NA;NA;26;48;19;18;29;91;78;45;57;70;62;50;53;53;48;29;78;53;63;56;NA;85;44;NA;196;185;166;186;0;1;0;3;3;1
2011;0;5;1;0;0;6;2;1;7;123;109;68;84;85;NA;87;NA;NA;NA;139;41;20;26;18;22;14;NA;16;19;NA;19;16;27;20;6;14;64;31;50;58;60;50;50;NA;42;56;14;80;67;41;48;43;51;43;NA;153;154;172;171;0;0;0;0;1;1
2012;11;24;8;9;7;13;0;8;31;122;98;82;87;110;129;83;107;97;131;131;51;35;29;29;37;21;NA;25;39;52;27;40;39;38;28;19;78;38;65;76;75;64;71;61;68;62;34;80;74;52;64;52;65;59;83;170;175;166;169;11;0;0;11;12;6
2013;0;4;6;0;1;1;0;1;4;113;98;74;86;103;120;NA;111;97;131;111;22;22;20;15;24;15;NA;24;13;26;NA;10;30;15;7;17;78;41;56;70;NA;38;42;29;28;47;29;71;52;42;50;43;64;49;83;172;188;154;149;1;0;0;0;4;0
2014;1;3;1;1;NA;0;2;2;3;108;61;62;43;69;104;40;72;50;106;101;2;5;4;6;NA;5;NA;3;2;NA;5;5;7;NA;6;5;37;16;14;8;NA;11;6;4;3;21;8;30;21;11;18;11;28;15;39;138;140;145;148;0;2;1;2;1;0
2015;1;3;3;0;2;0;NA;NA;1;128;105;76;67;93;118;67;110;82;119;124;8;7;9;7;23;7;NA;15;9;21;4;6;11;7;7;6;59;27;40;45;NA;50;46;38;31;48;12;78;57;18;45;21;42;34;52;148;159;172;172;0;2;0;0;1;0
2016;0;4;2;0;1;NA;2;0;5;126;101;61;71;101;113;58;116;77;129;126;24;14;7;8;9;3;NA;13;13;22;6;8;11;NA;5;7;57;24;35;NA;NA;47;46;44;30;43;12;68;42;NA;33;22;33;35;57;179;175;161;166;0;0;0;0;1;0
2017;5;14;7;6;9;4;2;3;12;130;103;79;78;104;NA;NA;117;81;135;134;28;22;30;12;27;12;NA;16;24;35;NA;14;33;17;17;17;65;39;54;NA;62;55;52;49;45;51;NA;75;66;42;55;45;52;49;71;173;186;163;162;0;3;5;2;5;3
2018;4;7;1;3;3;NA;0;0;8;122;92;63;86;99;125;83;107;86;138;128;24;14;18;19;16;6;NA;9;16;22;18;12;21;14;12;12;52;28;43;43;48;44;30;35;26;33;NA;64;58;41;44;37;46;33;78;147;154;146;149;4;1;0;3;0;0
2019;0;9;2;2;2;0;NA;3;10;133;100;67;NA;NA;132;79;98;70;130;116;33;20;12;22;19;13;NA;9;10;NA;19;11;16;13;10;9;53;20;NA;34;45;59;27;43;30;42;14;NA;60;31;35;35;40;40;64;173;174;NA;NA;0;0;1;0;5;4
2020;0;5;5;0;0;0;NA;0;0;159;109;57;84;96;110;75;110;73;127;135;29;6;2;18;11;3;7;5;NA;15;2;10;5;22;4;NA;51;6;37;18;38;55;26;33;27;39;8;65;54;20;44;22;30;31;62;161;171;171;180;0;0;0;0;1;0
